Id,Epochs,Runs,Discount,learning_rate,Epsilon,reward1,reward2,reward3,epsilon_strategy,lr_strategy,epsilon_rate,lr_rate,epsilon_min,lr_min
int,int,int,float,float,float,float,float,float,str,str,float,float,float,float
1,1000,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
2,1000,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
3,1000,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
4,1000,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
5,1000,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
6,1000,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
7,1000,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
8,1000,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
9,1000,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
10,1000,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
11,1000,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
12,1000,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
13,500,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
14,500,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
15,500,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
16,500,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
17,500,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
18,500,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
19,500,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
20,500,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
21,500,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
22,500,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
23,500,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
24,500,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
25,100,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
26,100,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
27,100,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
28,100,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
29,100,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
30,100,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
31,100,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
32,100,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
33,100,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
34,100,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
35,100,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
36,100,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
37,5000,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
38,5000,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
39,5000,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,decaying,0.995,0.995,0.1,0.05
40,5000,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
41,5000,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
42,5000,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,decaying,0.995,0.995,0.1,0.05
43,5000,20,0.9,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
44,5000,20,0.5,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
45,5000,20,0.1,0.9,0.5,1.6,0.5,1.1,constant,constant,0.995,0.995,0.1,0.05
46,5000,20,0.9,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
47,5000,20,0.5,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
48,5000,20,0.1,0.9,0.5,1.6,0.5,1.1,decaying,constant,0.995,0.995,0.1,0.05
